Time,Q1,Q2,T1,T2
0,100.0,0.0,27.956,27.924
1,100.0,0.0,27.859,27.827
2,100.0,0.0,27.892,27.763
3,100.0,0.0,27.859,27.763
4,100.0,0.0,27.956,27.763
5,100.0,0.0,28.085,27.763
6,100.0,0.0,28.311,27.763
7,100.0,0.0,28.601,27.795
8,100.0,0.0,28.923,27.73
9,100.0,0.0,29.213,27.666
10,100.0,0.0,29.567,27.763
11,100.0,0.0,29.922,27.666
12,100.0,0.0,30.244,27.827
13,100.0,0.0,30.824,27.763
14,100.0,0.0,31.243,27.763
15,100.0,0.0,31.823,27.956
16,100.0,0.0,32.436,27.956
17,100.0,0.0,32.822,27.924
18,100.0,0.0,33.435,27.892
19,100.0,0.0,34.015,27.988
20,100.0,0.0,34.434,27.988
21,100.0,0.0,35.014,27.988
22,100.0,0.0,35.465,27.988
23,100.0,0.0,36.013,28.053
24,100.0,0.0,36.528,28.214
25,0.0,0.0,37.012,27.988
26,0.0,0.0,37.334,28.021
27,0.0,0.0,37.979,28.311
28,0.0,0.0,38.301,28.311
29,0.0,0.0,38.623,28.311
30,0.0,0.0,39.203,28.311
31,0.0,0.0,39.558,28.536
32,0.0,0.0,39.622,28.633
33,0.0,0.0,39.912,28.633
34,0.0,0.0,40.202,28.633
35,0.0,0.0,40.234,28.762
36,0.0,0.0,40.234,28.955
37,0.0,0.0,40.234,28.955
38,0.0,0.0,40.234,28.955
39,0.0,0.0,40.234,28.987
40,0.0,0.0,40.234,29.245
41,0.0,0.0,40.234,29.277
42,0.0,0.0,40.234,29.277
43,0.0,0.0,39.912,29.277
44,0.0,0.0,39.912,29.277
45,0.0,0.0,39.912,29.438
46,0.0,0.0,39.687,29.6
47,0.0,0.0,39.59,29.6
48,0.0,0.0,39.558,29.6
49,0.0,0.0,39.268,29.6
50,0.0,0.0,39.074,29.664
51,0.0,0.0,38.945,29.89
52,0.0,0.0,38.913,29.922
53,0.0,0.0,38.623,29.922
54,0.0,0.0,38.623,29.922
55,0.0,0.0,38.301,29.922
56,0.0,0.0,38.301,29.954
57,0.0,0.0,37.979,30.18
58,0.0,0.0,37.979,30.244
59,0.0,0.0,37.656,30.244
60,0.0,0.0,37.656,30.244
61,0.0,0.0,37.624,30.244
62,0.0,0.0,37.334,30.244
63,0.0,0.0,37.334,30.244
64,0.0,0.0,37.012,30.244
65,0.0,0.0,36.786,30.244
66,0.0,0.0,36.689,30.244
67,0.0,0.0,36.367,30.276
68,0.0,0.0,36.367,30.341
69,0.0,0.0,36.174,30.534
70,0.0,0.0,36.045,30.534
71,0.0,0.0,36.045,30.566
72,0.0,0.0,35.787,30.566
73,0.0,0.0,35.723,30.566
74,0.0,0.0,35.529,30.566
75,0.0,0.0,35.4,30.566
76,0.0,0.0,35.4,30.566
77,0.0,0.0,35.078,30.566
78,0.0,0.0,35.078,30.566
79,0.0,0.0,34.788,30.566
80,0.0,0.0,34.756,30.566
81,0.0,0.0,34.691,30.566
82,0.0,0.0,34.434,30.566
83,0.0,0.0,34.434,30.566
84,0.0,0.0,34.111,30.566
85,0.0,0.0,34.111,30.566
86,0.0,0.0,34.111,30.566
87,0.0,0.0,33.95,30.566
88,0.0,0.0,33.789,30.566
89,0.0,0.0,33.789,30.566
90,0.0,0.0,33.757,30.566
91,0.0,0.0,33.467,30.566
92,0.0,0.0,33.467,30.566
93,0.0,0.0,33.241,30.566
94,0.0,0.0,33.145,30.566
95,0.0,0.0,33.145,30.534
96,0.0,0.0,32.951,30.566
97,0.0,0.0,32.822,30.566
98,0.0,0.0,32.822,30.534
99,0.0,0.0,32.822,30.566
100,0.0,0.0,32.79,30.566
101,0.0,0.0,32.5,30.566
102,0.0,0.0,32.5,30.566
103,0.0,0.0,32.5,30.438
104,0.0,0.0,32.21,30.244
105,0.0,0.0,32.178,30.244
106,0.0,0.0,32.178,30.244
107,0.0,0.0,32.178,30.244
108,0.0,0.0,31.888,30.244
109,0.0,0.0,31.855,30.244
110,0.0,0.0,31.855,30.244
111,0.0,0.0,31.533,30.244
112,0.0,0.0,31.533,30.244
113,0.0,0.0,31.533,30.244
114,0.0,0.0,31.533,30.244
115,0.0,0.0,31.533,30.244
116,0.0,0.0,31.308,30.244
117,0.0,0.0,31.211,30.244
118,0.0,0.0,31.211,29.922
119,0.0,0.0,31.211,29.922
120,0.0,0.0,31.179,29.922
121,0.0,0.0,30.889,29.922
122,0.0,0.0,30.889,29.922
123,0.0,0.0,30.889,29.922
124,0.0,0.0,30.889,29.922
125,0.0,0.0,30.566,29.922
126,0.0,0.0,30.566,29.922
127,0.0,0.0,30.566,29.922
128,0.0,0.0,30.566,29.89
129,0.0,0.0,30.566,29.922
130,0.0,0.0,30.566,29.922
131,0.0,0.0,30.502,29.857
132,0.0,0.0,30.341,29.89
133,0.0,0.0,30.244,29.6
134,0.0,0.0,30.244,29.6
135,0.0,0.0,30.244,29.6
136,0.0,0.0,30.244,29.6
137,0.0,0.0,30.083,29.6
138,0.0,0.0,29.986,29.6
139,0.0,0.0,29.922,29.6
140,0.0,0.0,29.922,29.6
141,0.0,0.0,29.922,29.567
142,0.0,0.0,29.922,29.6
143,0.0,0.0,29.922,29.535
144,0.0,0.0,29.922,29.6
145,0.0,0.0,29.922,29.535
146,0.0,0.0,29.664,29.374
147,0.0,0.0,29.6,29.277
148,0.0,0.0,29.6,29.277
149,0.0,0.0,29.6,29.277
150,0.0,0.0,29.6,29.277
151,0.0,0.0,29.6,29.277
152,0.0,0.0,29.6,29.277
153,0.0,0.0,29.6,29.277
154,0.0,0.0,29.277,29.277
155,0.0,0.0,29.277,29.277
156,0.0,0.0,29.277,29.213
157,0.0,0.0,29.277,29.277
158,0.0,0.0,29.277,29.213
159,0.0,0.0,29.277,29.213
160,0.0,0.0,29.277,29.181
161,0.0,0.0,29.277,29.084
162,0.0,0.0,29.277,29.052
163,0.0,0.0,29.084,28.955
164,0.0,0.0,29.052,28.955
165,0.0,0.0,28.955,28.955
166,0.0,0.0,28.955,28.955
167,0.0,0.0,28.955,28.955
168,0.0,0.0,28.955,28.955
169,0.0,0.0,28.923,28.955
170,0.0,0.0,28.923,28.923
171,0.0,0.0,28.891,28.891
172,0.0,0.0,28.729,28.762
173,0.0,0.0,28.665,28.633
174,0.0,0.0,28.633,28.633
175,0.0,0.0,28.633,28.633
176,0.0,0.0,28.633,28.633
177,0.0,0.0,28.633,28.633
178,0.0,0.0,28.633,28.633
179,0.0,0.0,28.633,28.633
180,0.0,0.0,28.633,28.633
181,0.0,0.0,28.633,28.633
182,0.0,0.0,28.633,28.633
183,0.0,0.0,28.633,28.633
184,0.0,0.0,28.472,28.633
185,0.0,0.0,28.311,28.601
186,0.0,0.0,28.311,28.472
187,0.0,0.0,28.311,28.536
188,0.0,0.0,28.311,28.343
189,0.0,0.0,28.311,28.407
190,0.0,0.0,28.311,28.343
191,0.0,0.0,28.311,28.311
192,0.0,0.0,28.311,28.311
193,0.0,0.0,28.311,28.311
194,0.0,0.0,28.311,28.311
195,0.0,0.0,28.311,28.311
196,0.0,0.0,28.311,28.311
197,0.0,0.0,28.278,28.311
198,0.0,0.0,28.182,28.311
199,0.0,0.0,28.021,28.311
200,100.0,0.0,28.214,28.311
201,100.0,0.0,28.214,28.278
202,100.0,0.0,28.246,28.311
203,100.0,0.0,28.278,28.311
204,100.0,0.0,28.311,28.278
205,100.0,0.0,28.536,28.311
206,100.0,0.0,28.633,28.278
207,100.0,0.0,28.923,28.246
208,100.0,0.0,29.277,28.246
209,100.0,0.0,29.535,28.214
210,100.0,0.0,29.922,28.246
211,100.0,0.0,30.341,28.214
212,100.0,0.0,30.856,28.246
213,100.0,0.0,31.275,28.278
214,100.0,0.0,31.855,28.278
215,100.0,0.0,32.21,28.246
216,100.0,0.0,32.758,28.214
217,100.0,0.0,33.145,28.278
218,100.0,0.0,33.66,28.311
219,100.0,0.0,34.111,28.311
220,100.0,0.0,34.659,28.311
221,100.0,0.0,35.078,28.311
222,100.0,0.0,35.723,28.439
223,100.0,0.0,36.367,28.536
224,100.0,0.0,36.979,28.601
225,0.0,0.0,37.334,28.504
226,0.0,0.0,37.656,28.633
227,0.0,0.0,38.301,28.633
228,0.0,0.0,38.784,28.633
229,0.0,0.0,39.074,28.633
230,0.0,0.0,39.429,28.665
231,0.0,0.0,39.654,28.923
232,0.0,0.0,39.912,28.955
233,0.0,0.0,39.912,28.955
234,0.0,0.0,40.234,28.955
235,0.0,0.0,40.234,29.148
236,0.0,0.0,40.234,29.277
237,0.0,0.0,40.299,29.277
238,0.0,0.0,40.557,29.277
239,0.0,0.0,40.524,29.277
240,0.0,0.0,40.557,29.503
241,0.0,0.0,40.234,29.6
242,0.0,0.0,40.234,29.6
243,0.0,0.0,39.912,29.6
244,0.0,0.0,39.912,29.6
245,0.0,0.0,39.912,29.729
246,0.0,0.0,39.848,29.922
247,0.0,0.0,39.59,29.922
248,0.0,0.0,39.59,29.922
249,0.0,0.0,39.461,29.922
250,0.0,0.0,39.268,29.922
251,0.0,0.0,38.945,30.115
252,0.0,0.0,38.913,30.18
253,0.0,0.0,38.623,30.244
254,0.0,0.0,38.623,30.244
255,0.0,0.0,38.397,30.244
256,0.0,0.0,38.301,30.244
257,0.0,0.0,37.979,30.244
258,0.0,0.0,37.979,30.405
259,0.0,0.0,37.656,30.47
260,0.0,0.0,37.656,30.566
261,0.0,0.0,37.366,30.566
262,0.0,0.0,37.334,30.566
263,0.0,0.0,37.012,30.566
264,0.0,0.0,37.012,30.566
265,0.0,0.0,36.689,30.566
266,0.0,0.0,36.689,30.566
267,0.0,0.0,36.367,30.566
268,0.0,0.0,36.367,30.566
269,0.0,0.0,36.174,30.566
270,0.0,0.0,36.045,30.566
271,0.0,0.0,35.852,30.599
272,0.0,0.0,35.723,30.599
273,0.0,0.0,35.626,30.599
274,0.0,0.0,35.4,30.631
275,0.0,0.0,35.368,30.663
276,0.0,0.0,35.078,30.792
277,0.0,0.0,35.078,30.663
278,0.0,0.0,34.756,30.695
279,0.0,0.0,34.756,30.792
280,0.0,0.0,34.756,30.856
281,0.0,0.0,34.434,30.824
282,0.0,0.0,34.434,30.663
283,0.0,0.0,34.337,30.566
284,0.0,0.0,34.111,30.889
285,0.0,0.0,34.111,30.856
286,0.0,0.0,34.111,30.824
287,0.0,0.0,33.789,30.663
288,0.0,0.0,33.789,30.663
289,0.0,0.0,33.725,30.599
290,0.0,0.0,33.467,30.599
291,0.0,0.0,33.467,30.599
292,0.0,0.0,33.467,30.566
293,0.0,0.0,33.145,30.599
294,0.0,0.0,33.145,30.566
295,0.0,0.0,33.145,30.566
296,0.0,0.0,32.822,30.566
297,0.0,0.0,32.822,30.566
298,0.0,0.0,32.822,30.566
299,0.0,0.0,32.629,30.566
300,0.0,0.0,32.5,30.566
301,0.0,0.0,32.5,30.566
302,0.0,0.0,32.5,30.566
303,0.0,0.0,32.178,30.566
304,0.0,0.0,32.178,30.566
305,0.0,0.0,32.178,30.566
306,0.0,0.0,32.178,30.534
307,0.0,0.0,31.855,30.373
308,0.0,0.0,31.855,30.405
309,0.0,0.0,31.855,30.405
310,0.0,0.0,31.759,30.276
311,0.0,0.0,31.598,30.244
312,0.0,0.0,31.533,30.244
313,0.0,0.0,31.533,30.244
314,0.0,0.0,31.533,30.244
315,0.0,0.0,31.437,30.244
316,0.0,0.0,31.275,30.244
317,0.0,0.0,31.211,30.244
318,0.0,0.0,31.211,30.212
319,0.0,0.0,31.211,30.18
320,0.0,0.0,30.921,29.954
321,0.0,0.0,30.889,29.922
322,0.0,0.0,30.889,29.986
323,0.0,0.0,30.889,30.019
324,0.0,0.0,30.889,29.922
325,0.0,0.0,30.856,29.922
326,0.0,0.0,30.566,29.922
327,0.0,0.0,30.566,29.922
328,0.0,0.0,30.566,29.922
329,0.0,0.0,30.566,29.922
330,0.0,0.0,30.566,29.922
331,0.0,0.0,30.534,29.922
332,0.0,0.0,30.276,29.922
333,0.0,0.0,30.244,29.89
334,0.0,0.0,30.244,29.761
335,0.0,0.0,30.244,29.696
336,0.0,0.0,30.244,29.6
337,0.0,0.0,30.18,29.6
338,0.0,0.0,29.922,29.6
339,0.0,0.0,29.922,29.6
340,0.0,0.0,29.922,29.6
341,0.0,0.0,29.922,29.6
342,0.0,0.0,29.922,29.6
343,0.0,0.0,29.922,29.6
344,0.0,0.0,29.761,29.6
345,0.0,0.0,29.632,29.406
346,0.0,0.0,29.6,29.31
347,0.0,0.0,29.6,29.277
348,0.0,0.0,29.6,29.277
349,0.0,0.0,29.6,29.277
350,0.0,0.0,29.6,29.277
351,0.0,0.0,29.6,29.277
352,0.0,0.0,29.6,29.277
353,0.0,0.0,29.567,29.277
354,0.0,0.0,29.374,29.277
355,0.0,0.0,29.277,29.277
356,0.0,0.0,29.277,29.277
357,0.0,0.0,29.277,29.245
358,0.0,0.0,29.277,29.277
359,0.0,0.0,29.277,29.245
360,0.0,0.0,29.277,29.116
361,0.0,0.0,29.245,28.955
362,0.0,0.0,28.987,28.955
363,0.0,0.0,28.955,28.955
364,0.0,0.0,28.955,28.955
365,0.0,0.0,28.955,28.955
366,0.0,0.0,28.955,28.955
367,0.0,0.0,28.955,28.923
368,0.0,0.0,28.923,28.955
369,0.0,0.0,28.923,28.955
370,0.0,0.0,28.665,28.794
371,0.0,0.0,28.697,28.633
372,0.0,0.0,28.633,28.665
373,0.0,0.0,28.633,28.665
374,0.0,0.0,28.633,28.665
375,0.0,0.0,28.633,28.633
376,0.0,0.0,28.633,28.633
377,0.0,0.0,28.633,28.633
378,0.0,0.0,28.633,28.633
379,0.0,0.0,28.633,28.633
380,0.0,0.0,28.633,28.633
381,0.0,0.0,28.601,28.633
382,0.0,0.0,28.375,28.633
383,0.0,0.0,28.311,28.568
384,0.0,0.0,28.311,28.568
385,0.0,0.0,28.311,28.311
386,0.0,0.0,28.311,28.311
387,0.0,0.0,28.311,28.311
388,0.0,0.0,28.311,28.311
389,0.0,0.0,28.311,28.311
390,0.0,0.0,28.311,28.311
391,0.0,0.0,28.311,28.311
392,0.0,0.0,28.214,28.311
393,0.0,0.0,28.182,28.311
394,0.0,0.0,28.085,28.311
395,0.0,0.0,28.085,28.311
396,0.0,0.0,28.053,28.311
397,0.0,0.0,27.988,28.311
398,0.0,0.0,27.988,28.311
399,0.0,0.0,27.988,28.311
400,100.0,0.0,27.988,28.278
401,100.0,0.0,27.988,28.246
402,100.0,0.0,28.021,28.278
403,100.0,0.0,28.214,28.278
404,100.0,0.0,28.246,28.182
405,100.0,0.0,28.311,28.214
406,100.0,0.0,28.633,28.246
407,100.0,0.0,28.858,28.182
408,100.0,0.0,29.245,28.182
409,100.0,0.0,29.535,28.182
410,100.0,0.0,29.89,28.246
411,100.0,0.0,30.244,28.182
412,100.0,0.0,30.566,28.214
413,100.0,0.0,31.146,28.085
414,100.0,0.0,31.501,28.246
415,100.0,0.0,32.113,28.214
416,100.0,0.0,32.564,28.214
417,100.0,0.0,33.145,28.214
418,100.0,0.0,33.66,28.278
419,100.0,0.0,34.144,28.311
420,100.0,0.0,34.756,28.311
421,100.0,0.0,35.336,28.311
422,100.0,0.0,35.723,28.311
423,100.0,0.0,36.303,28.343
424,100.0,0.0,36.947,28.568
425,0.0,0.0,37.334,28.343
426,0.0,0.0,37.656,28.536
427,0.0,0.0,38.301,28.633
428,0.0,0.0,38.623,28.633
429,0.0,0.0,39.042,28.633
430,0.0,0.0,39.558,28.633
431,0.0,0.0,39.88,28.794
432,0.0,0.0,39.944,28.955
433,0.0,0.0,40.234,28.955
434,0.0,0.0,40.331,28.955
435,0.0,0.0,40.557,28.987
436,0.0,0.0,40.267,29.116
437,0.0,0.0,40.46,29.277
438,0.0,0.0,40.557,29.277
439,0.0,0.0,40.557,29.277
440,0.0,0.0,40.492,29.374
441,0.0,0.0,40.267,29.6
442,0.0,0.0,40.234,29.6
443,0.0,0.0,40.234,29.6
444,0.0,0.0,39.912,29.632
445,0.0,0.0,39.912,29.761
446,0.0,0.0,39.912,29.922
447,0.0,0.0,39.59,29.922
448,0.0,0.0,39.59,29.922
449,0.0,0.0,39.3,29.922
450,0.0,0.0,39.268,29.922
451,0.0,0.0,39.171,30.051
452,0.0,0.0,38.945,30.244
453,0.0,0.0,38.752,30.244
454,0.0,0.0,38.623,30.244
455,0.0,0.0,38.623,30.244
456,0.0,0.0,38.301,30.244
457,0.0,0.0,38.301,30.341
458,0.0,0.0,37.979,30.341
459,0.0,0.0,37.85,30.47
460,0.0,0.0,37.656,30.566
461,0.0,0.0,37.656,30.566
462,0.0,0.0,37.334,30.566
463,0.0,0.0,37.334,30.566
464,0.0,0.0,37.012,30.566
465,0.0,0.0,36.689,30.566
466,0.0,0.0,36.689,30.566
467,0.0,0.0,36.367,30.566
468,0.0,0.0,36.367,30.566
469,0.0,0.0,36.045,30.566
470,0.0,0.0,36.045,30.566
471,0.0,0.0,36.045,30.631
472,0.0,0.0,35.723,30.695
473,0.0,0.0,35.529,30.599
474,0.0,0.0,35.4,30.599
475,0.0,0.0,35.368,30.599
476,0.0,0.0,35.271,30.76
477,0.0,0.0,35.078,30.824
478,0.0,0.0,35.078,30.824
479,0.0,0.0,34.756,30.631
480,0.0,0.0,34.756,30.599
481,0.0,0.0,34.434,30.566
482,0.0,0.0,34.434,30.566
483,0.0,0.0,34.111,30.566
484,0.0,0.0,34.111,30.566
485,0.0,0.0,34.111,30.566
486,0.0,0.0,33.789,30.566
487,0.0,0.0,33.789,30.599
488,0.0,0.0,33.789,30.566
489,0.0,0.0,33.563,30.566
490,0.0,0.0,33.467,30.566
491,0.0,0.0,33.467,30.566
492,0.0,0.0,33.145,30.566
493,0.0,0.0,33.145,30.566
494,0.0,0.0,33.145,30.566
495,0.0,0.0,32.854,30.566
496,0.0,0.0,32.822,30.566
497,0.0,0.0,32.822,30.566
498,0.0,0.0,32.758,30.566
499,0.0,0.0,32.5,30.566
